ccskeyid,CCS Title,CCS Ranking,Proficiency Level
1,Customer Orientation,2,Advanced
2,Digital Fluency,5,Advanced
3,Transdisciplinary Thinking,1,Basic
4,Learning Agility,2,Intermediate
5,Decision Making,3,Advanced
6,Building Inclusivity,5,Advanced
7,Problem Solving,3,Basic
8,Developing People,5,Advanced
9,Customer Orientation,5,Basic
10,Global Perspective,2,Advanced
11,Creative Thinking,3,Advanced
12,Adaptability,4,Intermediate
13,Customer Orientation,3,Advanced
14,Adaptability,1,Intermediate
15,Digital Fluency,1,Basic
16,Creative Thinking,1,Basic
17,Decision Making,4,Advanced
18,Problem Solving,1,Advanced
19,Learning Agility,5,Intermediate
20,Developing People,2,Intermediate
21,Adaptability,3,Basic
22,Digital Fluency,2,Basic
23,Global Perspective,4,Advanced
24,Decision Making,2,Basic
25,Building Inclusivity,1,Intermediate
26,Decision Making,5,Basic
27,Transdisciplinary Thinking,2,Advanced
28,Customer Orientation,4,Basic
29,Transdisciplinary Thinking,4,Advanced
30,Customer Orientation,1,Basic
31,Developing People,1,Advanced
32,Creative Thinking,4,Intermediate
33,Transdisciplinary Thinking,5,Intermediate
34,Building Inclusivity,4,Basic
35,Problem Solving,5,Advanced
36,Transdisciplinary Thinking,3,Basic
37,Global Perspective,3,Intermediate
38,Building Inclusivity,4,Advanced
39,Developing People,2,Basic
40,Creative Thinking,1,Intermediate
41,Developing People,3,Intermediate
42,Communication,5,Basic
43,Communication,4,Intermediate
44,Decision Making,5,Advanced
45,Communication,4,Basic
46,Creative Thinking,5,Intermediate
47,Digital Fluency,5,Intermediate
48,Global Perspective,4,Intermediate
49,Collaboration,3,Basic
50,Learning Agility,3,Advanced
51,Communication,5,Intermediate
52,Communication,2,Intermediate
53,Digital Fluency,4,Advanced
54,Digital Fluency,4,Basic
55,Communication,5,Advanced
56,Communication,1,Basic
57,Customer Orientation,3,Basic
58,Problem Solving,1,Intermediate
59,Developing People,3,Basic
60,Communication,1,Intermediate
61,Adaptability,1,Basic
62,Sense Making,5,Advanced
63,Developing People,5,Basic
64,Adaptability,5,Intermediate
65,Creative Thinking,3,Intermediate
66,Customer Orientation,2,Intermediate
67,Decision Making,4,Intermediate
68,Collaboration,1,Intermediate
69,Collaboration,2,Advanced
70,Collaboration,1,Basic
71,Developing People,1,Basic
72,Learning Agility,5,Basic
73,Global Perspective,5,Intermediate
74,Problem Solving,4,Intermediate
75,Sense Making,4,Advanced
76,Creative Thinking,2,Advanced
77,Collaboration,1,Advanced
78,Influence,4,Advanced
79,Transdisciplinary Thinking,1,Intermediate
80,Creative Thinking,3,Basic
81,Sense Making,2,Basic
82,Problem Solving,2,Advanced
83,Sense Making,5,Intermediate
84,Transdisciplinary Thinking,4,Intermediate
85,Building Inclusivity,2,Basic
86,Decision Making,1,Intermediate
87,Collaboration,4,Intermediate
88,Sense Making,3,Basic
89,Adaptability,3,Advanced
90,Influence,3,Intermediate
91,Learning Agility,4,Basic
92,Developing People,4,Intermediate
93,Developing People,3,Advanced
94,Problem Solving,2,Basic
95,Decision Making,4,Basic
96,Self Management,5,Intermediate
97,Customer Orientation,1,Advanced
98,Building Inclusivity,2,Intermediate
99,Problem Solving,2,Intermediate
100,Creative Thinking,4,Basic
101,Developing People,5,Intermediate
102,Learning Agility,2,Advanced
103,Building Inclusivity,1,Advanced
104,Adaptability,5,Basic
105,Customer Orientation,1,Intermediate
106,Decision Making,2,Advanced
107,Digital Fluency,2,Intermediate
108,Customer Orientation,5,Advanced
109,Customer Orientation,4,Intermediate
110,Collaboration,5,Basic
111,Digital Fluency,4,Intermediate
112,Global Perspective,1,Basic
113,Sense Making,2,Intermediate
114,Collaboration,4,Advanced
115,Global Perspective,3,Advanced
116,Sense Making,5,Basic
117,Creative Thinking,5,Advanced
118,Customer Orientation,2,Basic
119,Sense Making,1,Intermediate
120,Collaboration,2,Intermediate
121,Transdisciplinary Thinking,3,Intermediate
122,Digital Fluency,3,Intermediate
123,Transdisciplinary Thinking,5,Advanced
124,Communication,3,Basic
125,Decision Making,2,Intermediate
126,Digital Fluency,3,Advanced
127,Building Inclusivity,5,Intermediate
128,Global Perspective,5,Advanced
129,Transdisciplinary Thinking,2,Intermediate
130,Learning Agility,4,Intermediate
131,Sense Making,4,Basic
132,Communication,1,Advanced
133,Transdisciplinary Thinking,3,Advanced
134,Sense Making,1,Basic
135,Global Perspective,5,Basic
136,Self Management,5,Basic
137,Digital Fluency,1,Intermediate
138,Decision Making,1,Basic
139,Creative Thinking,1,Advanced
140,Problem Solving,5,Intermediate
141,Communication,3,Intermediate
142,Decision Making,3,Intermediate
143,Transdisciplinary Thinking,5,Basic
144,Digital Fluency,1,Advanced
145,Sense Making,3,Intermediate
146,Customer Orientation,4,Advanced
147,Creative Thinking,4,Advanced
148,Transdisciplinary Thinking,4,Basic
149,Customer Orientation,3,Intermediate
150,Customer Orientation,5,Intermediate
151,Collaboration,5,Intermediate
152,Communication,2,Advanced
153,Global Perspective,4,Basic
154,Building Inclusivity,3,Advanced
155,Problem Solving,4,Advanced
156,Sense Making,3,Advanced
157,Digital Fluency,5,Basic
158,Collaboration,4,Basic
159,Global Perspective,2,Intermediate
160,Developing People,1,Intermediate
161,Building Inclusivity,2,Advanced
162,Collaboration,3,Intermediate
163,Sense Making,4,Intermediate
164,Problem Solving,3,Intermediate
165,Creative Thinking,5,Basic
166,Global Perspective,1,Advanced
167,Digital Fluency,3,Basic
168,Influence,5,Advanced
169,Building Inclusivity,5,Basic
170,Building Inclusivity,3,Basic
171,Collaboration,2,Basic
172,Learning Agility,3,Intermediate
173,Adaptability,3,Intermediate
174,Communication,4,Advanced
175,Digital Fluency,2,Advanced
176,Learning Agility,1,Intermediate
177,Building Inclusivity,4,Intermediate
178,Creative Thinking,2,Basic
179,Building Inclusivity,1,Basic
180,Decision Making,5,Intermediate
181,Problem Solving,3,Advanced
182,Problem Solving,5,Basic
183,Decision Making,1,Advanced
184,Problem Solving,1,Basic
185,Sense Making,1,Advanced
186,Decision Making,3,Basic
187,Collaboration,5,Advanced
188,Sense Making,2,Advanced
189,Developing People,2,Advanced
190,Problem Solving,4,Basic
191,Learning Agility,4,Advanced
192,Global Perspective,3,Basic
193,Creative Thinking,2,Intermediate
194,Learning Agility,3,Basic
195,Developing People,4,Advanced
196,Building Inclusivity,3,Intermediate
197,Learning Agility,2,Basic
198,Communication,2,Basic
199,Global Perspective,1,Intermediate
200,Communication,3,Advanced
201,Transdisciplinary Thinking,1,Advanced
202,Influence,2,Advanced
203,Collaboration,3,Advanced
204,Transdisciplinary Thinking,2,Basic